Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
,,rad,rad,rad,mm,mm,mm
158,0,0.0575289,0.0353659,0.0901684,13.0744,-0.0308724,-5.21074
159,0,0.0577941,0.0357085,0.0904993,13.1075,-0.084402,-5.21396
160,0,0.0578399,0.0364842,0.0905446,13.0238,0.0177872,-5.15732
161,0,0.0574853,0.0361856,0.0901568,13.277,-0.282733,-5.32895
162,0,0.0576907,0.0361954,0.0903524,12.9263,0.14078,-5.07175
163,0,0.0576311,0.0362103,0.0906007,13.1545,-0.14947,-5.23525
164,0,0.0574661,0.0350117,0.0905209,13.1212,-0.12117,-5.21605
165,0,0.057516,0.0354904,0.0903679,13.0927,-0.0410744,-5.19745
166,0,0.0576843,0.0359615,0.0906945,13.2103,-0.220026,-5.31382
167,0,0.0578137,0.0361775,0.0904177,13.2002,-0.190896,-5.26978
168,0,0.0576152,0.0352754,0.0908009,13.1878,-0.172217,-5.25358
169,0,0.0579484,0.0360301,0.0901361,13.0263,0.00360984,-5.16382
170,0,0.0578178,0.0356701,0.0906432,13.237,-0.226212,-5.28795
171,0,0.0577363,0.0361686,0.0904492,13.1062,-0.0433774,-5.22241
172,0,0.0578899,0.0362105,0.0903988,13.1508,-0.143864,-5.26475
173,0,0.0578107,0.0360701,0.0904522,13.0727,-0.0500123,-5.22265
174,0,0.0576242,0.0361408,0.0903142,13.1382,-0.0957828,-5.22237
175,0,0.0576381,0.0357041,0.0906098,13.1016,-0.0583126,-5.21397
176,0,0.0575995,0.0351717,0.0903405,13.0688,-0.0389918,-5.21045
177,0,0.0575364,0.0362772,0.0901037,13.1051,-0.0753069,-5.20437
178,0,0.0571135,0.0359726,0.0901606,13.0711,-0.0224175,-5.16764
179,0,0.0571027,0.0356226,0.0903448,13.1175,-0.0841538,-5.19926
180,0,0.0578875,0.0361869,0.0902435,13.1575,-0.143719,-5.265
181,0,0.0576128,0.0362467,0.0905202,13.1346,-0.0935177,-5.20565
182,0,0.0574946,0.0345502,0.0905756,13.1202,-0.110747,-5.22056
183,0,0.0573397,0.0365411,0.0900881,13.0881,-0.0443919,-5.17225
184,0,0.0574364,0.0362551,0.0900705,13.2201,-0.202466,-5.33938
185,0,0.0573184,0.0353418,0.0902791,13.1749,-0.171944,-5.26244
186,0,0.0572365,0.0356604,0.0903731,13.15,-0.125447,-5.21474
187,0,0.0574462,0.0361927,0.0903875,13.1255,-0.106375,-5.2293
188,0,0.0580704,0.0364286,0.0903336,13.1097,-0.0691152,-5.24521
189,0,0.0576895,0.0365344,0.0901887,13.1167,-0.0831809,-5.21412
190,0,0.057742,0.0358183,0.0904972,13.107,-0.0864393,-5.2168
191,0,0.0572139,0.0363532,0.0899181,13.2281,-0.212407,-5.30225
192,0,0.0575772,0.0360195,0.0904038,13.1578,-0.133476,-5.23058
193,0,0.0577038,0.0359323,0.0903996,13.1389,-0.124001,-5.23354
194,0,0.057507,0.0351333,0.0902752,13.2111,-0.203505,-5.29044
195,0,0.0577898,0.0361905,0.0905818,13.049,0.0284287,-5.18149
196,0,0.0573071,0.0361845,0.0900466,13.1713,-0.173968,-5.27102
197,0,0.0577134,0.03635,0.0904066,13.1953,-0.170964,-5.27771
198,0,0.0578111,0.0364891,0.0905308,13.2884,-0.289192,-5.35939
199,0,0.0573183,0.0357793,0.0903177,13.2079,-0.188056,-5.3024
200,0,0.0576915,0.0363476,0.090163,13.1917,-0.177141,-5.2822
201,0,0.0579351,0.0356207,0.0904636,13.0922,-0.0488864,-5.23833
202,0,0.0577958,0.0358805,0.0902079,13.1876,-0.192957,-5.28024
203,0,0.0574601,0.0356063,0.0900961,13.1733,-0.121311,-5.249
204,0,0.0574501,0.0346672,0.0908377,13.2612,-0.254329,-5.33546
205,0,0.0578718,0.0358848,0.0907079,13.1075,-0.0842178,-5.22414
206,0,0.0574898,0.0371314,0.0903098,13.2128,-0.221326,-5.27919
207,0,0.0578142,0.036704,0.090409,13.1512,-0.154074,-5.24515
208,0,0.0577721,0.0359647,0.090195,13.0837,-0.0505251,-5.20201
209,0,0.057906,0.0355223,0.0902029,13.1791,-0.165591,-5.26803
210,0,0.0573194,0.0357799,0.0905609,13.0698,-0.0229577,-5.2075
211,0,0.0577224,0.0357119,0.0907481,13.1973,-0.204629,-5.29864
212,0,0.0575167,0.0351016,0.0906145,13.0187,0.0226831,-5.15866
213,0,0.057584,0.0347771,0.0898415,13.2213,-0.195692,-5.27625
214,0,0.0579661,0.0367653,0.0902226,13.1572,-0.143261,-5.28007
215,0,0.0574592,0.0357903,0.0905403,13.1283,-0.109736,-5.23282
216,0,0.0581178,0.0352341,0.0905074,13.1249,-0.0983305,-5.26873
217,0,0.0575367,0.0356314,0.0904046,13.1262,-0.087001,-5.21169
218,0,0.0573156,0.0345761,0.0905931,13.1431,-0.0853537,-5.23015
219,0,0.0578676,0.0364567,0.0901091,13.1353,-0.114433,-5.23382
220,0,0.0577622,0.036298,0.0907221,13.2583,-0.261959,-5.33255
221,0,0.0573784,0.0354527,0.0901063,13.0437,0.0125413,-5.14418
222,0,0.0579911,0.0370742,0.0903074,13.1269,-0.0978286,-5.22136
223,0,0.0576565,0.0367944,0.0905018,13.1823,-0.155164,-5.26268
224,0,0.0576787,0.0347687,0.0907538,13.2225,-0.196611,-5.26532
225,0,0.0573091,0.0355073,0.0906075,13.2454,-0.24216,-5.31526
226,0,0.0576084,0.0351664,0.0905424,13.1359,-0.0923926,-5.20435
227,0,0.0573732,0.0364057,0.0900845,13.0946,-0.042078,-5.21387
228,0,0.057372,0.0350617,0.0904833,13.1865,-0.147696,-5.24534
229,0,0.0577335,0.035908,0.090047,13.1114,-0.086267,-5.22477
230,0,0.0575307,0.0366505,0.0901508,13.2004,-0.202566,-5.28595
231,0,0.0573849,0.0363566,0.0905324,13.242,-0.243191,-5.30818
232,0,0.0575703,0.0359555,0.0903263,13.0985,-0.0671734,-5.21435
233,0,0.0575271,0.0363221,0.0905883,13.1895,-0.15976,-5.266
234,0,0.0572697,0.0358429,0.0904396,13.201,-0.170182,-5.2385
235,0,0.0574813,0.0351131,0.0907328,13.1593,-0.130019,-5.26655
236,0,0.0574444,0.0351601,0.090376,13.1967,-0.17961,-5.26475
237,0,0.0575063,0.0359876,0.0903722,13.195,-0.186076,-5.27807
238,0,0.0574519,0.0362415,0.090182,13.2298,-0.230562,-5.32176
239,0,0.0573939,0.0362802,0.0902603,13.1236,-0.0951992,-5.22424
