potZ,potRot,potY,potX,duration
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
