TX,TY,TZ,rot
-417.26273033955243,-642.7192122307738,1325.2046235782398,5.391626573861514
-426.9329821240258,-642.8676478662913,1312.7791164876735,5.389918889220142
-436.7638560236402,-643.1512553386838,1298.235452625292,5.386816032369726
-446.7549359046341,-643.3303701976403,1281.7627933082874,5.382056855917325
-456.71328923651384,-643.672154896461,1264.43568923422,5.376375833854585
-467.130407516896,-643.940219284901,1247.4792313605394,5.372322389887698
-477.63208916532676,-644.2731236744954,1231.6056230462068,5.371816967458372
-488.0912272973909,-644.6794846953172,1216.8901983274616,5.3696404604386725
-498.8488178721074,-645.1297244284295,1203.8297991895663,5.369113826449306
-509.7046899285901,-645.6218093279659,1192.1572001595257,5.368958448955765
-520.6817591393573,-646.236104051543,1181.757082007918,5.369048277614098
-531.3022826777662,-646.8287149051403,1171.946076521237,5.367151312969321
-542.113107177905,-647.5711105831274,1163.3326916584845,5.367064690181197
-552.9177663059783,-648.1170141630312,1155.2120541533661,5.366275635455863
-563.5141225037321,-648.901246327961,1147.802596785816,5.365492917949936
-574.0058401225574,-649.4244702121595,1140.6145837894767,5.36445392934919
-584.2826470722474,-650.0410472773725,1134.0424906340872,5.363480917606978
-594.6297739095853,-650.6697826475902,1127.8243584308266,5.36426380535633
-604.896886701426,-651.2204488187032,1122.0769468137637,5.364221423500358
-614.801569350025,-651.7049644954516,1116.347899976811,5.3647152122107125
-624.6513954090085,-652.2065415788375,1111.2226919320758,5.365037950216262
-634.500648622282,-652.8259161069396,1106.36146042221,5.36505670587761
-644.0135678151438,-653.2918285297501,1101.4033630610259,5.36521925474769
-653.3038868343439,-653.9129350336592,1096.8892080403023,5.365130322398292
-662.4182115422915,-654.3738786909205,1092.5599056702267,5.362615514661472
-671.402499288217,-655.0097213211943,1088.2442988138093,5.362625711851194
-680.3541478948337,-655.6360779252016,1084.080633175085,5.3610465682096455
-689.2650276507411,-656.3276772908582,1079.9657629995613,5.361043003774001
-697.8736457203009,-656.8689900117961,1075.9576092704178,5.3604396445784435
-706.2324806269058,-657.2999995771978,1072.060390904091,5.36383652061325
-714.5413608949366,-658.114194295238,1068.097677279306,5.363825937351672
