TX,TY,TZ,rot
1200.0,1200.0,1200.0,2.2421643358109278
1200.0,1200.0,1200.0,2.2524596862021435
1200.0,1200.0,1200.0,2.2646753075314723
1200.0,1200.0,1200.0,2.274300594492241
1200.0,1200.0,1200.0,2.2862119273774097
1200.0,1200.0,1200.0,2.297480791946221
1200.0,1200.0,1200.0,2.309072639202551
1200.0,1200.0,1200.0,2.3201737612302344
1200.0,1200.0,1200.0,2.332779947282367
1200.0,1200.0,1200.0,2.3447087828833606
1200.0,1200.0,1200.0,2.3550697633852438
1200.0,1200.0,1200.0,2.367098889993963
1200.0,1200.0,1200.0,2.3788178039675207
1200.0,1200.0,1200.0,2.390595845006826
1200.0,1200.0,1200.0,2.4019942700304986
1200.0,1200.0,1200.0,2.4145541726635753
1200.0,1200.0,1200.0,2.426090382314947
1200.0,1200.0,1200.0,2.437503253045972
1200.0,1200.0,1200.0,2.4485651130397685
1200.0,1200.0,1200.0,2.4601250261643264
1200.0,1200.0,1200.0,2.47204488682898
1200.0,1200.0,1200.0,2.4836008743535123
1200.0,1200.0,1200.0,2.4950005237451918
1200.0,1200.0,1200.0,2.50667030615241
1200.0,1200.0,1200.0,2.518325155308999
1200.0,1200.0,1200.0,2.5298385735160047
1200.0,1200.0,1200.0,2.5413540779973767
1200.0,1200.0,1200.0,2.552533289017765
1200.0,1200.0,1200.0,2.5636034864965573
1200.0,1200.0,1200.0,2.573931655212252
1200.0,1200.0,1200.0,2.5836229911324824
1200.0,1200.0,1200.0,2.59348902066953
1200.0,1200.0,1200.0,2.6042779201107984
1200.0,1200.0,1200.0,2.6150992974599774
1200.0,1200.0,1200.0,2.626065640625241
1200.0,1200.0,1200.0,2.636496614430965
1200.0,1200.0,1200.0,2.6476245102905147
1200.0,1200.0,1200.0,2.6574620755612637
1200.0,1200.0,1200.0,2.667873307917329
1200.0,1200.0,1200.0,2.6773551413858825
1200.0,1200.0,1200.0,2.688277864461224
1200.0,1200.0,1200.0,2.6975336657084945
1200.0,1200.0,1200.0,2.708739031231869
1200.0,1200.0,1200.0,2.7184762770542306
1200.0,1200.0,1200.0,2.7304902294928035
1200.0,1200.0,1200.0,2.7409463008320505
1200.0,1200.0,1200.0,2.7529554112758206
