Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
125,0.733959,-3.08129,-1.0677,42.4825,116.177,487.594,112,64,64,80
126,0.732619,-3.08057,-1.05737,42.0105,115.032,488.369,112,64,64,80
127,0.734279,-3.08795,-1.07517,43.1202,115.785,488.946,112,64,64,80
128,0.743865,-3.0938,-1.07936,43.6117,115.549,489.56,112,64,64,80
129,0.746664,-3.09221,-1.07895,43.0883,114.523,489.929,112,64,64,80
130,0.729799,-3.08744,-1.04052,41.3468,111.796,490.728,112,64,64,80
131,0.728445,-3.08831,-1.05194,41.3186,111.345,490.709,116,64,64,80
132,0.730657,-3.0923,-1.07898,42.0127,111.777,490.562,116,64,64,80
133,0.734096,-3.09338,-1.08105,41.7879,111.288,490.79,116,64,64,80
134,0.730571,-3.0906,-1.0431,40.6618,109.382,491.793,116,64,64,80
135,0.726332,-3.086,-1.00884,39.4168,107.227,492.551,116,64,64,80
136,0.731842,-3.08437,-1.01306,39.2375,106.588,492.568,116,64,64,80
137,0.733224,-3.08536,-1.01352,39.1411,106.218,492.691,116,64,64,80
138,0.732568,-3.08644,-1.01886,39.1559,105.992,492.789,116,64,64,80
139,0.727314,-3.08759,-1.01994,39.1081,105.991,493.082,116,64,64,80
140,0.72398,-3.08722,-1.02132,38.8705,105.896,493.255,116,64,64,80
141,0.723376,-3.08638,-1.02329,38.6373,105.766,493.374,120,64,64,80
142,0.722374,-3.08502,-1.02715,38.5673,105.722,493.445,120,64,64,80
143,0.719694,-3.08364,-1.02885,38.441,105.69,493.589,120,64,64,80
144,0.720839,-3.08283,-1.03136,38.4056,105.635,493.716,120,64,64,80
145,0.71997,-3.08259,-1.03357,38.3535,105.664,493.827,120,64,64,80
146,0.719152,-3.0826,-1.03322,38.3767,105.735,493.99,120,64,64,80
147,0.719007,-3.08276,-1.03269,38.407,105.84,494.039,120,64,64,80
148,0.719992,-3.0836,-1.03178,38.4795,105.906,494.046,120,64,64,80
149,0.719981,-3.08417,-1.03064,38.5708,106.071,494.077,120,64,64,80
150,0.72011,-3.08497,-1.02907,38.6389,106.184,494.019,120,64,64,80
151,0.719589,-3.08699,-1.02838,38.8018,106.406,493.98,124,64,64,80
152,0.722172,-3.08726,-1.02724,38.955,106.506,493.851,124,64,64,80
153,0.723668,-3.08753,-1.02866,39.1626,106.652,493.609,124,64,64,80
154,0.729066,-3.08737,-1.03405,39.5371,106.71,493.22,124,64,64,80
155,0.732815,-3.08644,-1.03416,39.671,106.693,492.799,124,64,64,80
156,0.735729,-3.0847,-1.02529,39.623,106.68,492.58,124,64,64,80
157,0.737314,-3.0842,-1.01484,39.6202,106.49,492.435,124,64,64,80
158,2.38238,-0.128603,0.0777921,-10.8524,30.5605,457.087,124,64,64,80
159,2.37063,-0.118172,0.0879014,-11.1451,30.0485,455.873,124,64,64,80
160,2.37382,-0.103559,0.10352,-11.1208,30.5039,455.356,124,64,64,80
161,2.37797,-0.105198,0.102804,-10.6074,31.027,455.035,128,64,64,80
162,2.38124,-0.10945,0.0977217,-10.1687,31.3991,454.573,128,64,64,80
163,2.37538,-0.107289,0.103851,-10.1082,31.238,453.663,128,64,64,80
164,2.37327,-0.105203,0.110849,-9.99524,31.2936,452.791,128,64,64,80
165,2.37697,-0.109204,0.105362,-9.47992,31.4233,452.126,128,64,64,80
166,2.38405,-0.119841,0.0943409,-8.48733,31.832,451.565,128,64,64,80
167,2.37246,-0.120918,0.0993237,-8.36779,31.282,450.398,128,64,64,80
168,2.36736,-0.11033,0.119176,-8.29891,31.6284,449.528,128,64,64,80
169,2.37231,-0.110856,0.118825,-7.73512,31.8796,448.699,128,64,64,80
170,2.386,-0.110588,0.121667,-6.87923,32.311,447.97,128,64,64,80
171,2.38688,-0.116689,0.120549,-6.44,32.3899,447.474,124,64,64,80
172,2.3813,-0.12041,0.120776,-6.11686,32.1719,446.581,124,64,64,80
173,2.37464,-0.107993,0.124297,-6.37476,32.0013,445.07,124,64,64,80
174,2.37703,-0.109668,0.129924,-5.76114,32.152,444.451,124,64,64,80
175,2.37798,-0.108439,0.129889,-5.58442,32.1012,443.793,124,64,64,80
176,2.37802,-0.108268,0.129026,-5.62513,31.9835,443.18,124,64,64,80
177,2.37896,-0.103094,0.13162,-5.68431,31.9731,442.382,124,64,64,80
178,2.38368,-0.0998521,0.13054,-5.46694,32.1087,441.825,124,64,64,80
179,2.3839,-0.100352,0.12944,-5.22251,31.9707,441.417,124,64,64,80
180,2.37732,-0.101981,0.130753,-5.1015,31.6218,440.809,124,64,64,80
181,2.3705,-0.108782,0.131381,-4.83013,31.2613,440.483,120,64,64,80
182,2.36842,-0.114205,0.132713,-4.5726,30.9224,440.266,120,64,64,80
183,2.36818,-0.116806,0.131937,-4.407,30.5287,439.975,120,64,64,80
184,2.36841,-0.117697,0.131151,-4.35155,30.2147,439.622,120,64,64,80
185,2.37171,-0.116895,0.129335,-4.26193,30.0369,439.424,120,64,64,80
