Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
150,-0.280745,-3.26365,-0.569403,46.6457,159.762,774.726,120,64,64,80
151,-0.278391,-3.26116,-0.565474,46.876,158.264,773.608,124,64,64,80
152,-0.287024,-3.26124,-0.561755,47.2321,157.165,772.839,124,64,64,80
153,-0.288844,-3.25779,-0.561925,47.5192,155.994,771.526,124,64,64,80
154,-0.2868,-3.26589,-0.5751,47.6646,154.302,769.271,124,64,64,80
155,-0.278412,-3.26302,-0.566649,47.8313,152.633,767.972,124,64,64,80
156,-0.28755,-3.2566,-0.557016,48.3047,151.626,767.215,124,64,64,80
157,-0.287462,-3.26082,-0.565716,48.4928,150.201,765.193,124,64,64,80
158,-0.284622,-3.26851,-0.57657,48.6889,148.731,762.944,124,64,64,80
159,-0.282292,-3.26384,-0.567588,48.9049,147.229,761.67,124,64,64,80
160,-0.277784,-3.26051,-0.562002,49.1735,145.841,760.297,124,64,64,80
161,-0.289358,-3.2634,-0.568733,49.453,144.862,758.704,128,64,64,80
162,-0.289956,-3.2661,-0.569342,49.7423,143.633,757.335,128,64,64,80
163,-0.285212,-3.2672,-0.571974,49.8775,142.067,755.651,128,64,64,80
164,-0.278983,-3.26222,-0.565413,50.082,140.714,754.473,128,64,64,80
165,-0.284295,-3.26292,-0.566705,50.3256,139.68,753.293,128,64,64,80
166,-0.289614,-3.26114,-0.561464,50.5942,138.65,752.689,128,64,64,80
167,-0.296423,-3.26265,-0.56562,50.7881,137.615,751.575,128,64,64,80
168,-0.28393,-3.26822,-0.572004,50.8018,136.037,749.844,128,64,64,80
169,-0.283774,-3.26456,-0.5762,51.1314,135.03,748.718,128,64,64,80
170,-0.28594,-3.26545,-0.573925,51.2141,133.928,748.168,128,64,64,80
171,-0.288836,-3.26716,-0.56991,51.4156,132.92,747.805,124,64,64,80
172,-0.294456,-3.27016,-0.570286,51.4365,131.695,747.11,124,64,64,80
173,-0.288194,-3.26943,-0.572809,51.4951,130.475,746.176,124,64,64,80
174,-0.282419,-3.26384,-0.563223,51.623,129.281,746.028,124,64,64,80
175,-0.287663,-3.25816,-0.554588,51.7947,128.406,746.134,124,64,64,80
176,-0.292082,-3.26081,-0.558784,51.9782,127.471,745.682,124,64,64,80
177,-0.288988,-3.26548,-0.569351,52.0543,126.498,744.701,124,64,64,80
178,-0.28743,-3.27122,-0.577049,52.0115,125.442,743.995,124,64,64,80
179,-0.287649,-3.2684,-0.580096,52.114,124.548,743.542,124,64,64,80
180,-0.288984,-3.26434,-0.575546,52.2511,123.759,743.572,124,64,64,80
181,-0.289909,-3.26338,-0.568832,52.2298,122.706,743.667,120,64,64,80
182,-0.287368,-3.26629,-0.573153,52.2501,121.712,743.263,120,64,64,80
183,-0.284902,-3.2676,-0.577854,52.2211,120.695,742.699,120,64,64,80
184,-0.286063,-3.26871,-0.580011,52.2039,119.854,742.313,120,64,64,80
185,-0.288649,-3.26716,-0.582391,52.2869,119.12,741.922,120,64,64,80
186,-0.292602,-3.26637,-0.578834,52.3751,118.286,741.94,120,64,64,80
187,-0.294027,-3.26773,-0.576105,52.3427,117.369,741.722,120,64,64,80
188,-0.287805,-3.27118,-0.573626,52.17,116.111,741.195,120,64,64,80
189,-0.288714,-3.26962,-0.57238,52.1814,115.259,740.735,120,64,64,80
190,-0.290465,-3.26592,-0.569613,52.2097,114.416,740.428,120,64,64,80
191,-0.29382,-3.25948,-0.561061,52.3132,113.756,740.622,116,64,64,80
192,-0.291589,-3.2624,-0.561939,52.3224,112.896,740.144,116,64,64,80
193,-0.294452,-3.26138,-0.562771,52.336,112.153,739.732,116,64,64,80
194,-0.291175,-3.2689,-0.578383,52.1962,111.011,738.187,116,64,64,80
195,-0.287573,-3.26798,-0.576207,52.1882,109.961,737.649,116,64,64,80
196,-0.28123,-3.26419,-0.572219,52.1227,108.978,737.18,116,64,64,80
197,-0.287031,-3.26457,-0.567818,52.2241,108.126,736.705,116,64,64,80
198,-0.290983,-3.26428,-0.563414,52.6254,107.408,735.917,116,64,64,80
199,-0.291724,-3.26248,-0.557928,53.2521,106.497,734.722,116,64,64,80
200,-1.9329,-4.51821,1.76418,-7.48938,113.386,800.004,116,64,64,80
201,-1.90413,-4.51999,1.78582,-6.52283,112.881,799.006,112,64,64,80
202,-1.89936,-4.51697,1.79494,-5.23629,112.37,798.18,112,64,64,80
203,-1.8834,-4.5235,1.78644,-3.27668,111.796,797.488,112,64,64,80
204,-1.88511,-4.52204,1.80145,-1.20896,111.436,796.718,112,64,64,80
205,-1.86937,-4.52699,1.79011,1.81796,111.103,796.342,112,64,64,80
206,-1.88405,-4.52318,1.80085,4.98902,110.881,795.858,112,64,64,80
207,-1.88615,-4.5196,1.80608,9.06538,110.928,795.543,112,64,64,80
208,-1.879,-4.5243,1.80532,13.6766,111.078,795.369,112,64,64,80
209,-1.87964,-4.52607,1.8042,18.9473,111.234,795.328,112,64,64,80
210,-1.87784,-4.52484,1.80781,24.8931,111.7,795.308,112,64,64,80
211,-1.88316,-4.52476,1.81405,31.2485,112.328,795.354,108,64,64,80
212,-1.8848,-4.52442,1.81814,38.2946,113.012,795.503,108,64,64,80
213,-1.88674,-4.5289,1.81212,46.0692,113.661,795.666,108,64,64,80
214,-1.88606,-4.52874,1.81238,54.38,114.618,796.025,108,64,64,80
215,-0.286155,-3.31254,-0.716079,52.839,203.201,768.679,108,64,64,80
216,-0.285579,-3.31737,-0.70851,62.4639,204.535,769.122,108,64,64,80
217,-0.2949,-3.31872,-0.713341,72.4949,205.531,769.196,108,64,64,80
218,-0.28198,-3.32059,-0.712485,83.6323,207.728,769.738,108,64,64,80
219,-0.295845,-3.3222,-0.717851,94.6213,208.735,769.667,108,64,64,80
220,-0.282538,-3.32606,-0.71908,106.802,211.108,770.061,108,64,64,80
221,-0.283203,-3.32537,-0.735814,119.397,212.973,770.102,104,64,64,80
222,-0.287075,-3.32627,-0.738729,132.542,215.07,770.151,104,64,64,80
223,-0.286919,-3.33644,-0.712279,146.203,217.631,770.133,104,64,64,80
224,-0.27808,-3.34059,-0.715442,160.842,220.613,770.238,104,64,64,80
225,-0.217639,-3.35153,-0.730278,174.819,224.985,770.493,104,64,64,80
226,-0.216782,-3.36558,-0.702723,190.15,227.95,770.411,104,64,64,80
227,-0.200366,-3.36086,-0.740751,206.06,231.409,770.261,104,64,64,80
228,-0.185991,-3.37088,-0.730582,222.89,235.674,770.66,104,64,64,80
229,-0.203974,-3.36521,-0.756459,239.779,238.38,770.028,104,64,64,80
230,-0.21617,-1.67314,-4.33415,180.69,178.474,747.799,104,64,64,80
231,-0.0237261,-1.66305,-4.27466,201.144,174.367,744.008,100,64,64,80
232,-0.0279954,-1.65155,-4.28239,219.282,179.401,744.359,100,64,64,80
233,-0.0893368,-1.6545,-4.28577,239.772,184.859,744.533,100,64,64,80
234,-0.0843136,-1.64122,-4.2911,258.96,189.839,744.873,100,64,64,80
235,-0.0973798,-1.64605,-4.2832,279.173,194.949,745.281,100,64,64,80
236,-0.0537515,-1.63081,-4.29857,300.2,199.942,745.532,100,64,64,80
237,-0.0785981,-1.64004,-4.29777,321.733,205.568,746.133,100,64,64,80
238,-0.120072,-1.62025,-4.30488,344.142,212.205,746.875,100,64,64,80
239,-0.221611,-1.59031,-4.32996,367.386,221.556,748.244,100,64,64,80
240,-0.156225,-1.61494,-4.32178,390.369,225.631,748.906,100,64,64,80
241,-0.206787,-1.59174,-4.33281,414.25,233.955,750.424,96,64,64,80
242,-0.190826,-1.60372,-4.32846,438.526,239.796,751.652,96,64,64,80
